Tempo;U_t;V_t;A_t
0.300;2.708E-2;3.917E-2;0.883
0.333;2.904E-2;7.276E-2;0.823
0.367;3.193E-2;9.413E-2;0.431
0.400;3.531E-2;0.102;5.752E-2
0.433;3.870E-2;9.751E-2;-0.350
0.467;4.181E-2;7.914E-2;-0.696
0.500;4.398E-2;4.980E-2;-0.936
0.533;4.513E-2;1.698E-2;-1.003
0.567;4.511E-2;-1.756E-2;-1.001
0.600;4.396E-2;-4.984E-2;-0.870
0.633;4.179E-2;-7.602E-2;-0.638
0.667;3.889E-2;-9.241E-2;-0.280
0.700;3.563E-2;-9.519E-2;0.140
0.733;3.255E-2;-8.281E-2;0.512
0.767;3.011E-2;-6.055E-2;0.800
0.800;2.851E-2;-2.982E-2;0.975
0.833;2.812E-2;5.324E-3;1.028
0.866;2.887E-2;3.868E-2;0.907
0.900;3.070E-2;6.631E-2;0.661
0.933;3.329E-2;8.294E-2;0.311
0.966;3.623E-2;8.705E-2;-4.622E-2
1.000;3.909E-2;7.972E-2;-0.379
1.033;4.154E-2;6.182E-2;-0.645
1.066;4.321E-2;3.625E-2;-0.816
1.100;4.396E-2;7.296E-3;-0.895
1.133;4.370E-2;-2.346E-2;-0.838
1.166;4.239E-2;-4.944E-2;-0.689
1.200;4.040E-2;-6.880E-2;-0.431
1.233;3.781E-2;-7.909E-2;-0.148
1.266;3.513E-2;-7.802E-2;0.190
1.300;3.261E-2;-6.689E-2;0.476
1.333;3.067E-2;-4.586E-2;0.730
1.366;2.955E-2;-1.823E-2;0.860
1.400;2.946E-2;1.200E-2;0.864
1.433;3.035E-2;3.955E-2;0.718
1.466;3.209E-2;6.024E-2;0.485
1.500;3.436E-2;7.180E-2;0.189
1.533;3.688E-2;7.306E-2;-9.527E-2
1.566;3.923E-2;6.506E-2;-0.379
1.600;4.122E-2;4.814E-2;-0.598
1.633;4.244E-2;2.454E-2;-0.734
1.666;4.285E-2;-8.051E-4;-0.746
1.700;4.239E-2;-2.551E-2;-0.694
1.733;4.115E-2;-4.707E-2;-0.549
1.766;3.925E-2;-6.247E-2;-0.321
1.800;3.699E-2;-6.850E-2;-5.113E-2
1.833;3.469E-2;-6.574E-2;0.244
1.866;3.261E-2;-5.260E-2;0.496
1.900;3.118E-2;-3.189E-2;0.650
1.933;3.048E-2;-9.219E-3;0.723
1.966;3.057E-2;1.615E-2;0.709
2.000;3.156E-2;3.895E-2;0.570
2.033;3.316E-2;5.403E-2;0.353
2.066;3.516E-2;6.245E-2;0.104
2.100;3.732E-2;6.137E-2;-0.150
2.133;3.925E-2;5.190E-2;-0.380
2.166;4.078E-2;3.627E-2;-0.547
2.200;4.167E-2;1.509E-2;-0.636
2.233;4.179E-2;-6.484E-3;-0.632
2.266;4.123E-2;-2.688E-2;-0.563
