Tempo;U_t;V_t;A_t
2.300;4.000E-2;-4.443E-2;-0.415
2.333;3.827E-2;-5.479E-2;-0.206
2.366;3.635E-2;-5.798E-2;2.644E-2
2.400;3.441E-2;-5.333E-2;0.256
2.433;3.279E-2;-4.063E-2;0.463
2.466;3.170E-2;-2.236E-2;0.572
2.499;3.130E-2;-2.077E-3;0.620
2.533;3.156E-2;1.872E-2;0.576
2.566;3.255E-2;3.698E-2;0.456
2.599;3.403E-2;4.897E-2;0.242
2.633;3.581E-2;5.340E-2;3.267E-2
2.666;3.759E-2;5.077E-2;-0.179
2.699;3.920E-2;4.175E-2;-0.354
2.733;4.037E-2;2.684E-2;-0.502
2.766;4.099E-2;8.298E-3;-0.548
2.799;4.092E-2;-1.024E-2;-0.538
2.833;4.030E-2;-2.722E-2;-0.451
2.866;3.911E-2;-4.089E-2;-0.315
2.899;3.758E-2;-4.811E-2;-0.123
2.933;3.590E-2;-4.921E-2;7.152E-2
2.966;3.430E-2;-4.338E-2;0.262
2.999;3.301E-2;-3.156E-2;0.426
3.033;3.219E-2;-1.499E-2;0.514
3.066;3.201E-2;3.125E-3;0.529
3.099;3.240E-2;2.019E-2;0.465
3.133;3.335E-2;3.443E-2;0.342
3.166;3.470E-2;4.308E-2;0.160
3.199;3.623E-2;4.515E-2;-1.563E-2
3.233;3.771E-2;4.180E-2;-0.182
3.266;3.901E-2;3.323E-2;-0.334
3.299;3.992E-2;1.935E-2;-0.458
3.333;4.030E-2;2.566E-3;-0.477
3.366;4.009E-2;-1.292E-2;-0.440
3.399;3.944E-2;-2.644E-2;-0.355
3.433;3.833E-2;-3.705E-2;-0.219
3.466;3.697E-2;-4.105E-2;-5.410E-2
3.499;3.559E-2;-4.034E-2;0.105
3.533;3.428E-2;-3.444E-2;0.256
3.566;3.330E-2;-2.292E-2;0.386
3.599;3.275E-2;-8.648E-3;0.439
3.633;3.272E-2;6.537E-3;0.436
3.666;3.319E-2;2.055E-2;0.380
3.699;3.409E-2;3.193E-2;0.264
3.733;3.532E-2;3.837E-2;9.370E-2
3.766;3.665E-2;3.818E-2;-6.024E-2
3.799;3.786E-2;3.397E-2;-0.203
3.833;3.891E-2;2.512E-2;-0.312
3.866;3.954E-2;1.256E-2;-0.397
3.899;3.975E-2;-1.097E-3;-0.401
3.933;3.946E-2;-1.456E-2;-0.372
3.966;3.878E-2;-2.580E-2;-0.279
3.999;3.774E-2;-3.344E-2;-0.144
4.033;3.655E-2;-3.540E-2;-6.388E-3
4.066;3.539E-2;-3.360E-2;0.134
4.099;3.431E-2;-2.691E-2;0.251
4.133;3.359E-2;-1.633E-2;0.341
4.166;3.322E-2;-4.379E-3;0.377
4.199;3.330E-2;8.970E-3;0.374
4.232;3.382E-2;2.076E-2;0.295
4.266;3.468E-2;2.871E-2;0.178
4.299;3.573E-2;3.255E-2;4.235E-2
4.332;3.685E-2;3.168E-2;-8.047E-2
4.366;3.785E-2;2.693E-2;-0.195
4.399;3.865E-2;1.885E-2;-0.284
4.432;3.910E-2;7.782E-3;-0.334
4.466;3.917E-2;-3.563E-3;-0.336
4.499;3.887E-2;-1.453E-2;-0.297
4.532;3.820E-2;-2.365E-2;-0.212
4.566;3.729E-2;-2.867E-2;-9.345E-2
4.599;3.629E-2;-2.980E-2;2.578E-2
4.632;3.530E-2;-2.704E-2;0.130
4.666;3.448E-2;-2.099E-2;0.242
4.699;3.390E-2;-1.116E-2;0.313
4.732;3.374E-2;4.072E-4;0.329
4.766;3.393E-2;1.068E-2;0.293
4.799;3.445E-2;1.999E-2;0.229
4.832;3.526E-2;2.621E-2;0.121
4.866;3.620E-2;2.799E-2;2.058E-4
4.899;3.713E-2;2.615E-2;-0.103
4.932;3.794E-2;2.115E-2;-0.190
4.966;3.854E-2;1.346E-2;-0.253
4.999;3.884E-2;4.208E-3;-0.285
5.032;3.882E-2;-5.565E-3;-0.286
5.066;3.847E-2;-1.493E-2;-0.246
5.099;3.782E-2;-2.211E-2;-0.152
5.132;3.699E-2;-2.519E-2;-5.240E-2
5.166;3.614E-2;-2.534E-2;4.989E-2
5.199;3.531E-2;-2.218E-2;0.138
5.232;3.467E-2;-1.581E-2;0.224
5.266;3.425E-2;-7.414E-3;0.272
5.299;3.417E-2;2.558E-3;0.281
5.332;3.442E-2;1.149E-2;0.239
5.366;3.494E-2;1.849E-2;0.170
5.399;3.566E-2;2.291E-2;8.211E-2
5.432;3.646E-2;2.396E-2;-2.590E-2
5.466;3.725E-2;2.124E-2;-0.114
5.499;3.788E-2;1.611E-2;-0.181
5.532;3.833E-2;9.291E-3;-0.218
5.566;3.850E-2;1.344E-3;-0.253
5.599;3.842E-2;-7.389E-3;-0.241
5.632;3.801E-2;-1.516E-2;-0.179
5.666;3.741E-2;-1.930E-2;-9.909E-2
5.699;3.672E-2;-2.156E-2;-2.713E-2
5.732;3.597E-2;-2.139E-2;6.466E-2
5.766;3.529E-2;-1.720E-2;0.148
5.799;3.482E-2;-1.122E-2;0.194
5.832;3.455E-2;-4.377E-3;0.219
5.865;3.453E-2;3.488E-3;0.230
5.899;3.478E-2;1.105E-2;0.201
5.932;3.527E-2;1.698E-2;0.140
5.965;3.591E-2;2.040E-2;4.340E-2
5.999;3.663E-2;2.005E-2;-4.612E-2
6.032;3.725E-2;1.700E-2;-0.118
6.065;3.776E-2;1.238E-2;-0.160
6.099;3.807E-2;6.201E-3;-0.194
6.132;3.817E-2;-5.176E-4;-0.216
6.165;3.804E-2;-8.184E-3;-0.198
6.199;3.763E-2;-1.413E-2;-0.135
6.232;3.710E-2;-1.697E-2;-7.102E-2
6.265;3.650E-2;-1.878E-2;-9.501E-3
6.299;3.584E-2;-1.792E-2;7.584E-2
6.332;3.530E-2;-1.353E-2;0.157
6.365;3.494E-2;-7.382E-3;0.183
6.399;3.481E-2;-1.175E-3;0.185
6.432;3.486E-2;4.794E-3;0.177
6.465;3.513E-2;1.074E-2;0.149
6.499;3.558E-2;1.489E-2;9.414E-2
6.532;3.612E-2;1.693E-2;2.933E-2
6.565;3.671E-2;1.692E-2;-4.950E-2
6.599;3.725E-2;1.371E-2;-0.107
6.632;3.762E-2;9.385E-3;-0.152
6.665;3.788E-2;3.954E-3;-0.175
6.699;3.789E-2;-2.631E-3;-0.185
6.732;3.770E-2;-8.321E-3;-0.148
6.765;3.733E-2;-1.267E-2;-0.100
6.799;3.686E-2;-1.494E-2;-4.754E-2
6.832;3.633E-2;-1.579E-2;1.274E-2
6.865;3.580E-2;-1.427E-2;7.188E-2
6.899;3.538E-2;-1.077E-2;0.132
6.932;3.509E-2;-5.627E-3;0.158
6.965;3.501E-2;1.053E-4;0.178
6.999;3.509E-2;5.976E-3;0.150
7.032;3.541E-2;1.056E-2;0.115
7.065;3.580E-2;1.323E-2;5.586E-2
7.099;3.629E-2;1.458E-2;3.500E-3
7.132;3.677E-2;1.334E-2;-5.586E-2
7.165;3.718E-2;1.079E-2;-9.213E-2
7.199;3.749E-2;7.222E-3;-0.132
7.232;3.766E-2;2.042E-3;-0.158
7.265;3.762E-2;-3.554E-3;-0.147
7.299;3.742E-2;-7.794E-3;-0.118
7.332;3.710E-2;-1.130E-2;-8.048E-2
7.365;3.667E-2;-1.336E-2;-3.387E-2
7.399;3.621E-2;-1.343E-2;2.920E-2
7.432;3.577E-2;-1.154E-2;8.278E-2
7.465;3.544E-2;-7.780E-3;0.124
7.498;3.526E-2;-3.279E-3;0.132
7.532;3.523E-2;1.129E-3;0.135
7.565;3.533E-2;5.577E-3;0.127
7.598;3.560E-2;9.736E-3;9.792E-2
7.632;3.598E-2;1.215E-2;3.545E-2
7.665;3.641E-2;1.215E-2;-1.582E-2
7.698;3.679E-2;1.088E-2;-4.831E-2
7.732;3.713E-2;9.044E-3;-8.883E-2
7.765;3.739E-2;5.069E-3;-0.121
7.798;3.747E-2;6.346E-4;-0.139
7.832;3.743E-2;-3.901E-3;-0.122
7.865;3.721E-2;-7.898E-3;-9.755E-2
7.898;3.691E-2;-1.018E-2;-4.943E-2
7.932;3.653E-2;-1.133E-2;-1.058E-2
7.965;3.615E-2;-1.082E-2;3.447E-2
7.998;3.581E-2;-9.043E-3;7.279E-2
8.032;3.555E-2;-5.967E-3;0.105
8.065;3.541E-2;-1.988E-3;0.123
8.098;3.542E-2;2.253E-3;0.113
8.132;3.556E-2;5.660E-3;9.768E-2
8.165;3.579E-2;8.596E-3;6.785E-2
8.198;3.614E-2;1.044E-2;2.554E-2
8.232;3.649E-2;1.018E-2;-1.648E-2
8.265;3.681E-2;9.250E-3;-6.043E-2
8.298;3.711E-2;6.420E-3;-9.148E-2
8.332;3.724E-2;2.740E-3;-0.102
8.365;3.729E-2;-1.787E-4;-9.717E-2
8.398;3.723E-2;-3.722E-3;-9.728E-2
8.432;3.704E-2;-6.829E-3;-7.421E-2
8.465;3.678E-2;-8.625E-3;-4.043E-2
8.498;3.647E-2;-9.508E-3;-4.559E-3
8.532;3.614E-2;-9.011E-3;3.123E-2
8.565;3.587E-2;-7.320E-3;7.121E-2
8.598;3.565E-2;-4.381E-3;8.578E-2
8.632;3.557E-2;-1.324E-3;9.538E-2
8.665;3.557E-2;1.719E-3;9.382E-2
8.698;3.569E-2;5.134E-3;8.607E-2
8.732;3.591E-2;7.461E-3;5.455E-2
8.765;3.619E-2;8.757E-3;1.442E-2
8.798;3.649E-2;8.509E-3;-2.490E-2
8.832;3.675E-2;6.975E-3;-5.142E-2
8.865;3.696E-2;5.073E-3;-7.393E-2
8.898;3.709E-2;2.149E-3;-8.989E-2
8.932;3.710E-2;-1.118E-3;-9.083E-2
8.965;3.702E-2;-3.834E-3;-7.678E-2
8.998;3.684E-2;-6.269E-3;-4.776E-2
9.032;3.660E-2;-7.163E-3;-2.927E-2
9.065;3.637E-2;-7.878E-3;-2.407E-3
9.098;3.607E-2;-7.759E-3;3.066E-2
9.131;3.585E-2;-5.575E-3;6.970E-2
9.165;3.570E-2;-3.116E-3;7.874E-2
9.198;3.564E-2;-3.317E-4;8.044E-2
9.231;3.568E-2;2.315E-3;7.585E-2
9.265;3.580E-2;4.675E-3;6.564E-2
9.298;3.599E-2;6.740E-3;4.122E-2
9.331;3.625E-2;7.517E-3;3.113E-3
9.365;3.649E-2;6.874E-3;-2.442E-2
9.398;3.670E-2;5.818E-3;-4.333E-2
9.431;3.688E-2;4.092E-3;-6.279E-2
9.465;3.698E-2;1.548E-3;-7.897E-2
9.498;3.698E-2;-1.177E-3;-8.239E-2
9.531;3.690E-2;-3.955E-3;-6.363E-2
9.565;3.672E-2;-5.578E-3;-4.149E-2
9.598;3.653E-2;-6.495E-3;-1.187E-2
9.631;3.629E-2;-6.607E-3;6.572E-3
9.665;3.609E-2;-5.830E-3;2.464E-2
9.698;3.590E-2;-5.064E-3;4.767E-2
9.731;3.575E-2;-2.773E-3;7.462E-2
9.765;3.571E-2;1.564E-4;8.705E-2
9.798;3.576E-2;2.900E-3;6.392E-2
9.831;3.591E-2;4.660E-3;4.530E-2
9.865;3.607E-2;5.646E-3;1.975E-2
9.898;3.628E-2;6.201E-3;7.879E-3
9.931;3.648E-2;5.994E-3;-2.092E-2
9.965;3.668E-2;4.989E-3;-4.419E-2
9.998;3.682E-2;2.907E-3;-6.116E-2
10.031;3.688E-2;8.915E-4;-6.560E-2
10.065;3.687E-2;-1.396E-3;-5.869E-2
10.098;3.678E-2;-3.198E-3;-5.507E-2
10.131;3.666E-2;-4.842E-3;-3.592E-2
10.165;3.646E-2;-5.881E-3;-8.344E-3
10.198;3.627E-2;-5.261E-3;2.012E-2
10.231;3.611E-2;-4.465E-3;3.350E-2
10.265;3.597E-2;-3.151E-3;4.486E-2
10.298;3.590E-2;-1.340E-3;4.070E-2
10.331;3.588E-2;-3.744E-4;5.924E-2
10.365;3.588E-2;2.198E-3;6.618E-2
10.398;3.603E-2;4.688E-3;4.573E-2
10.431;3.619E-2;4.901E-3;5.240E-3
10.465;3.636E-2;5.056E-3;-6.541E-4
10.498;3.652E-2;4.878E-3;-2.349E-2
10.531;3.668E-2;3.581E-3;-5.345E-2
10.565;3.676E-2;1.217E-3;-5.648E-2
10.598;3.676E-2;-3.512E-4;-4.693E-2
10.631;3.674E-2;-1.666E-3;-4.037E-2
10.665;3.665E-2;-3.217E-3;-4.245E-2
10.698;3.653E-2;-4.406E-3;-2.530E-2
10.731;3.636E-2;-5.023E-3;-2.186E-3
10.765;3.619E-2;-4.511E-3;1.635E-2
10.798;3.606E-2;-3.835E-3;3.458E-2
10.831;3.594E-2;-2.390E-3;4.209E-2
10.864;3.590E-2;-7.623E-4;5.190E-2
10.898;3.588E-2;8.327E-4;4.915E-2
10.931;3.595E-2;2.705E-3;4.047E-2
10.964;3.606E-2;3.528E-3;2.543E-2
10.998;3.619E-2;4.265E-3;1.221E-2
11.031;3.635E-2;4.532E-3;-7.969E-3
11.064;3.649E-2;3.641E-3;-2.871E-2
11.098;3.659E-2;2.571E-3;-2.972E-2
11.131;3.666E-2;1.659E-3;-3.826E-2
11.164;3.670E-2;1.327E-4;-4.799E-2
11.198;3.667E-2;-1.696E-3;-4.847E-2
11.231;3.659E-2;-3.052E-3;-2.930E-2
11.264;3.647E-2;-3.725E-3;-1.610E-2
11.298;3.634E-2;-4.007E-3;-3.610E-3
11.331;3.620E-2;-4.060E-3;
11.364;3.607E-2;;
