Time;U_t;V_t
0.0;1.0;0.0
0.01;0.9950108183967405;-0.9963401519304558
0.02;0.9801195913312831;-1.9787677118944367
0.03;0.9555143398062359;-2.9375416674530768
0.04;0.9214791978938551;-3.8631958833852367
0.05;0.878391193135449;-4.746632164359107
0.06;0.8267161398796807;-5.579209726239748
0.07;0.7670036003508401;-6.352829368954476
0.08;0.69988109247559;-7.060012118346754
0.09;0.6260475241750094;-7.693971371418191
0.1;0.5462659342964497;-8.248677782105727
0.11;0.4613556266072629;-8.718916356524437
0.12;0.3721837755958036;-9.100335209734125
0.13;0.27965659001415805;-9.389485507536007
0.14;0.18471011873710325;-9.583852264890918
0.15;0.08830079858026324;-9.68187568800864
0.16;-0.008604164755932939;-9.682962919665897
0.17;-0.10503648416810853;-9.58749008823369
0.18;-0.20003645094716138;-9.396794690640997
0.19;-0.2926624657825343;-9.113158427993401
0.2;-0.3820003778549606;-8.739780645816655
0.21;-0.4671724548815363;-8.280742806249231
0.22;-0.5473460162873037;-7.740964257249138
0.23;-0.6217415455490023;-7.126149841130216
0.24;-0.6896402574571786;-6.442729845670122
0.25;-0.7503910224126471;-5.697793018907162
0.26;-0.8034165864188942;-4.89901323329677
0.27;-0.8482190324145579;-4.054570629932645
0.28;-0.8843844299672518;-3.1730680347103166
0.29;-0.9115866272374936;-2.263443481794279
0.3;-0.9295901526321397;-1.3348797481548884
0.31;-0.9382522022838184;-0.39671181616231244
0.32;-0.9375236912301792;0.5416668393534123
0.33;-0.9274493716347056;1.4708981297030068
0.34;-0.9081670100218763;2.381752547221992
0.35000000000000003;-0.8799056432791665;3.2652206718327643
0.36;-0.8429829298940053;4.112602140503684
0.37;-0.7978016287493084;4.9155911668480305
0.38;-0.7448452430960597;5.6663577893976695
0.39;-0.6846728769463656;6.3576240507933335
0.4;-0.6179133582632196;6.982734369162406
0.41000000000000003;-0.5452586900564274;7.53571941747199
0.42;-0.46745689771574855;8.011352911013393
0.43;-0.38530434555345205;8.405200760678117
0.44;-0.299637603238002;8.71366212033481
0.45;-0.21132494349222705;8.934001966487571
0.46;-0.12125755728686341;9.064374915641656
0.47000000000000003;-0.03034057557962065;9.103840075067426
0.48;0.060516011493146796;9.052366814605557
0.49;0.15040644887741206;8.910831440004904
0.5;0.23843823831626385;8.68100483432022
0.51;0.32374096600886315;8.365531205841515
0.52;0.40547491177534456;7.967898275575288
0.53;0.4828392950156792;7.492399106049805
0.54;0.5550801035360007;6.944086081050523
0.55;0.6214974270566036;6.328717497185707
0.56;0.6814522179397745;5.6526973151066215
0.5700000000000001;0.7343724229860493;4.923008738569521
0.58;0.7797584193450809;4.147142257884508
0.59;0.81718770792926;3.3330189352701414
0.6;0.8463188172481109;2.4889096903959866
0.61;0.8668943866654337;1.6233514443874144
0.62;0.8787433966246347;0.7450609209933436
0.63;0.8817825287622045;-0.13715299280911014
0.64;0.8760166463805747;-1.0144774512206347
0.65;0.8615383950120039;-1.878183545133528
0.66;0.8385269277868346;-2.719713010280753
0.67;0.8072457731059528;-3.5307628863861646
0.68;0.7680398698056277;-4.303367290912017
0.6900000000000001;0.7213318035584653;-5.02997550767659
0.7000000000000001;0.6676172824211618;-5.703525624368522
0.71;0.6074599025080247;-6.31751300257886
0.72;0.5414852560786696;-6.866052910097756
0.73;0.47037444604300627;-7.343936731977355
0.74;0.3948570724048064;-7.7466812099234375
0.75;0.31570376368954967;-8.070570249342603
0.76;0.2337183286043164;-8.312688913630716
0.77;0.14972960822971004;-8.470949293161917
0.78;0.06458311398363352;-8.544108020066785
0.79;-0.020867482666430744;-8.531775320601524
0.8;-0.10576887582724347;-8.434415440836087
0.81;-0.1892766455800816;-8.253338654695984
0.8200000000000001;-0.27056363843756454;-7.990684806198135
0.8300000000000001;-0.3488281491398295;-7.649398656354139
0.84;-0.42330181315451476;-7.23319731820713
0.85;-0.4932571334830565;-6.746530093744121
0.86;-0.5580145730755617;-6.194531189763737
0.87;-0.6169491394004697;-5.582965786371147
0.88;-0.6694963998726066;-4.918170038842854
0.89;-0.7151578653994959;-4.206985579030501
0.9;-0.7535057022757841;-3.456689325893444
0.91;-0.7841867113583957;-2.674919143395445
0.92;-0.8069255572366167;-1.8695962676954365
0.93;-0.8215272006170302;-1.0488451691103584
0.9400000000000001;-0.8278785198514291;-0.22091172799332603
0.9500000000000001;-0.8259491184148694;0.6059194644888062
0.96;-0.815791292524451;1.4234078899665021
0.97;-0.7975391791843027;2.223439082375487
0.98;-0.7714070977148609;2.998105048846882
0.99;-0.7376870858706746;3.7397823081401196
1.0;-0.6967456790011404;4.4412067448617005
1.01;-0.649019962098642;5.09554464824329
1.02;-0.5950129261873197;5.69645912036984
1.03;-0.5352881885083058;6.238171274147761
1.04;-0.47046413112409485;6.715515631451184
1.05;-0.40120751957214806;7.12398923101264
1.06;-0.3282266555083875;7.4597938192492075
1.07;-0.2522641491517601;7.7198709022624294
1.08;-0.17408938406606114;7.9019294519668035
1.09;-0.09449072961526525;8.004465578643622
1.1;-0.014267596618766691;8.026774117728477
1.11;0.06577755816888936;7.968952886308587
1.12;0.14484725782639546;7.831898361610293
1.1300000000000001;0.222156934812792;7.617293528080906
1.1400000000000001;0.2969427058982563;7.3275879391375485
1.1500000000000001;0.3684689017464684;6.965970269592336
1.16;0.43603529952081893;6.536333532003191
1.17;0.4989839528932271;6.043233475893052
1.18;0.5567055898168047;5.491840502166215
1.19;0.6086454935335622;4.887885650277325
1.2;0.6543088154129871;4.237601205548343
1.21;0.693265270524762;3.547656560221685
1.22;0.7251531695329355;2.825089973244558
1.23;0.7496827531246877;2.0772369015329533
1.24;0.7666387940033764;1.3116556654161584
1.25;0.7758824465058416;0.5360511350302049
1.26;0.7773523206240645;-0.24180249887919492
1.27;0.7710647937495936;-1.0141397577831972
1.28;0.7571135300916236;-1.7732811247957456
1.29;0.7356682417463479;-2.5117093430739317
1.3;0.70697269132203;-3.222143705251343
1.31;0.67134196480542;-3.8976117140080664
1.32;0.6291590471551084;-4.531517393028013
1.33;0.5808707308909415;-5.1177055233252124
1.34;0.5269829030586057;-5.650521260198819
1.35;0.4680552779951104;-6.124864637902871
1.36;0.4046955824009868;-6.5362390668658925
1.37;0.3375533105453582;-6.8807937829281025
1.3800000000000001;0.2673130857159277;-7.155359725537561
1.3900000000000001;0.1946876911833909;-7.357478406840434
1.4000000000000001;0.1204108483946059;-7.48542357033584
1.41;0.045229817984768446;-7.5382154837652
1.42;-0.03010210505607254;-7.5156277340430515
1.43;-0.10483313262034681;-7.418186485898905
1.44;-0.17822046747932968;-7.247162207102886
1.45;-0.24953767696898788;-7.004554047358693
1.46;-0.31808186939111727;-6.693066988611429
1.47;-0.3831806113935381;-6.316082057561985
1.48;-0.44419851151000617;-5.877619910151832
1.49;-0.500543408407179;-5.382298177167673
1.5;-0.5516721019569563;-4.835283044215899
1.51;-0.5970955739349599;-4.242235553786285
1.52;-0.636383649679123;-3.6092531698764505
1.53;-0.6691690525118814;-2.942807232660969
1.54;-0.6951508150779263;-2.249676929574326
1.55;-0.7140970150856619;-1.5368804730127867
1.56;-0.725846812559449;-0.8116041599228359
1.57;-0.7303117693019378;-0.08113006313079293
1.58;-0.7274764428150228;0.6472369730625137
1.59;-0.7173982491717771;1.366242301968129
1.6;-0.7002065987142345;2.0687535779748076
1.61;-0.676101318663623;2.7478314056313935
1.62;-0.645350379221561;3.3967977626297117
1.6300000000000001;-0.60828694910998;4.009301550730834
1.6400000000000001;-0.5653058124711933;4.57938060542656
1.6500000000000001;-0.5168591888799506;5.101519619198174
1.6600000000000001;-0.4634519935320107;5.5707033521441875
1.67;-0.4056365911535479;5.982464646630037
1.68;-0.3440070939084119;6.332926697788775
1.69;-0.27919329537727233;6.6188397281207685
1.7;-0.2118541945402837;6.837610192382993
1.71;-0.14267136169714997;6.987324618853813
1.72;-0.07234202865749262;7.066765785113926
1.73;-0.0015720773553733712;7.075422067063789
1.74;0.0689310359379397;7.013489719509509
1.75;0.13846533840876757;6.881868105951574
1.76;0.20634132187630086;6.682147922043496
1.77;0.27188876737924483;6.416592571839227
1.78;0.3344633496815365;6.088112911784906
1.79;0.3934529618867865;5.700235640152313
1.8;0.44828368783023625;5.257065668999345
1.81;0.49842537316902663;4.76324289337924
1.82;0.5433967379531482;4.223893780560656
1.83;0.5827699806573178;3.6445783075237017
1.84;0.6161748306136927;3.031232787439582
1.85;0.6433020106613155;2.390109165012365
1.86;0.6639060766014502;1.727711432558991
1.87;0.677807611077567;1.0507297490920777
1.8800000000000001;0.6848947484138831;0.365972994566077
1.8900000000000001;0.6851240200917263;-0.3196995735906242
1.9000000000000001;0.6785205169995066;-0.9994469807253774
1.9100000000000001;0.6651773636259397;-1.66651463001678
1.92;0.6452545189365977;-2.3143013338135083
1.93;0.6189769139445996;-2.936424518517532
1.94;0.5866319501888172;-3.526782990110601
1.95;0.5485663871651177;-4.079616601929067
1.96;0.5051826298648718;-4.589562685459007
1.97;0.456934525499048;-5.051707219198072
1.98;0.4043226092424783;-5.461632670287561
1.99;0.3478889306729831;-5.815459904475507
2.0;0.28821148758311654;-6.109884516750079
2.0100000000000002;0.22589831535353452;-6.342207789770152
2.02;0.16158130472109658;-6.510360950200628
2.0300000000000002;0.09590980580167917;-6.612923384064528
2.04;0.029544083303276594;-6.6491342274738665
2.05;-0.03685131202066942;-6.618897251539606
2.06;-0.10261418548547935;-6.522779243347398
2.07;-0.16709129374775794;-6.362001662837541
2.08;-0.22964482267505465;-6.138425853545671
2.09;-0.2896586850176711;-5.854531941229857
2.1;-0.346544578351174;-5.513391624959368
2.11;-0.39974773988843865;-5.1186351874123925
2.12;-0.4487523443050804;-4.6744130624697675
2.13;-0.49308649239281477;-4.18535236910428
2.14;-0.5323267413980171;-3.6565088797126775
2.15;-0.5661021338021236;-3.093314883486797
2.16;-0.5940976866688159;-2.501523513629766
2.17;-0.6160573097703788;-1.8871501072921673
2.18;-0.6317861243789483;-1.256411170764739
2.19;-0.6411521594766797;-0.615661572584212
2.2;-0.6440874198629465;0.028669349106238973
2.21;-0.6405883087581993;0.6701422133391254
2.22;-0.6307154031697204;1.3023718517820007
2.23;-0.6145925972494387;1.919090746645494
2.24;-0.5924056136589232;2.514211075015355
2.25;-0.564399901476436;3.081884690188931
2.2600000000000002;-0.5308779545583043;3.6165604791607873
2.27;-0.4921960656953147;4.1130385403097565
2.2800000000000002;-0.44876055673455206;4.566520617547934
2.29;-0.40102353096317195;4.972656356723267
2.3000000000000003;-0.34947817971610684;5.327584892405736
2.31;-0.29465370195696017;5.62797140285776
2.32;-0.2371098822749701;5.871038251956723
2.33;-0.17743138720520513;6.054590466934123
2.34;-0.11622183603990843;6.177035300710779
2.35;-0.05409770425313447;6.237395715754171
2.36;0.008317874184820832;6.235317659761397
2.37;0.07040134592618133;6.1710711090620105
2.38;0.1315349578228549;6.045544888095911
2.39;0.1911128947377589;5.860235337903458
2.4;0.24854727286992567;5.61722896874145
2.41;0.30327393031559935;5.319179297252681
2.42;0.3547579584714149;4.969278119766201
2.43;0.40249891800840587;4.571221540408436
2.44;0.4460356916924432;4.129171104510039
2.45;0.48495092630279185;3.6477104386537618
2.46;0.5188750199371569;3.1317978553095696
2.47;0.5474896160362775;2.5867154181173726
2.48;0.5705305742265608;2.0180149699009227
2.49;0.5877903862643398;1.4314617151202698
2.5;0.5991200207589927;0.8329758586724305
2.5100000000000002;0.6044301753948433;0.22857294847207854
2.52;0.6036919275661653;-0.37569643239780176
2.5300000000000002;0.5969367847826759;-0.9738072311442532
2.54;0.5842561265476667;-1.5598198381203285
2.5500000000000003;0.5658000556242726;-2.1279390021271496
2.56;0.5417756660691466;-2.6725710322147016
2.57;0.5124447513900974;-3.1883787689774463
2.58;0.47812097888114663;-3.6703337229214035
2.59;0.43916653683475015;-4.113765326009721
2.6;0.39598835835061386;-4.51440545095042
2.61;0.349033867067916;-4.868429819244332
2.62;0.2987863521818849;-5.172494385012967
2.63;0.2457600143970152;-5.423766449778251
2.64;0.19049471008649121;-5.619951205579817
2.65;0.13355046686657232;-5.759312258175695
2.66;0.07550181859786813;-5.840686759305596
2.67;0.01693201881124725;-5.863494774222519
2.68;-0.04157281122391277;-5.827742647285889
2.69;-0.0994295372781405;-5.7340206677099
2.7;-0.1560638158469411;-5.583494823323584
2.71;-0.2109157864997804;-5.377892870517149
2.72;-0.26344559579134896;-5.1194848808755005
2.73;-0.31313870183360815;-4.811058425136719
2.74;-0.3595109033816165;-4.455888718394006
2.75;-0.4021130472047049;-4.05770401121227
2.7600000000000002;-0.4405353671568351;-3.6206466020247223
2.77;-0.47441141262900427;-3.149229881869421
2.7800000000000002;-0.5034215302951545;-2.648291846044514
